scaled_amount,scaled_time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
-0.25459372598337177,0.4555857094185787,1.92763816309332,1.32029123716936,-2.60012205090598,3.93307643850665,1.95321856250602,0.0344658989989995,0.680236252339796,-0.0616829387409826,-1.61881419356664,0.328514890095231,1.07972425485493,0.0995097224342027,0.370998416580091,-2.72316331648293,-1.7124347974821,1.58127978692198,1.49117682504203,1.07247482603505,-1.34717595212382,-0.134579127723909,-0.163703223011569,-0.371098379779563,0.0132075625963078,-0.0497362630015251,0.28320362003226,-0.0006706606905832,-0.0253614521221605,0.0016606775693443,0
-0.30741284147278697,0.9579882282451626,1.8717018750255,1.1065089145667,-1.87686413449398,4.06436643103263,1.3349071240149,0.11850457223384,0.288013471091106,0.0799504898325826,-1.21534303928657,0.372611826585133,1.20010707389509,0.132574615025589,-0.124197839339708,-2.63153555520686,-1.83127107424049,1.51480211126007,1.48078423446056,0.960339272282388,-1.45842738149298,-0.189996325322096,-0.170151521628355,-0.366766882777204,0.143650954709527,0.385826523910601,0.0466121224375442,-0.0877598210381118,-0.0043507888628516,0.0077554089231638,0
-0.2934395304967512,-0.16058694298570236,-0.465510556167615,1.29354215496134,0.909930607049188,0.805012947836718,0.329358053269791,-1.31664909392673,0.877948357516962,-0.202594468649448,-0.542754878725024,-0.870288297905571,0.140192574167003,-0.398560454361946,-0.429252512837006,-1.12889365005702,0.866684135673997,0.322402173914203,0.81302097452967,0.553142510592069,-0.553549242207977,-0.103891008437948,0.051572038699733,0.129026361054949,-0.145944257304657,0.586362231189371,0.206361361597619,-0.396964453644463,-0.0706691673212419,0.0515447703284479,0
-0.2934395304967512,-0.0632526227986701,-0.272513081681096,1.27537767150725,0.81410685310571,0.731147380567443,0.461420733608508,-1.12280770588377,0.866314838821296,-0.134537651887515,-0.566607129063571,-0.976048257195955,-0.188010834858658,-0.591805216797748,-0.543466854073041,-1.07664959846358,0.896879295866765,0.43367731316412,0.713710376552533,0.684958724475918,-0.439844080431682,-0.0715163526611515,0.0181207165367488,0.047024562817515,-0.264227393853365,0.258075693483001,0.237334760147476,-0.36649968593588,0.0538584923439229,0.0569492252129513,0
-0.2934395304967512,-0.6485626005944619,-0.425745436524151,1.37909115567142,0.645260436503346,0.697394319275809,0.702898386676139,-0.681755292761139,0.816204042133727,-0.0483579508277496,-0.545736905507565,-1.03227761357788,0.162020385436394,-0.450482591788735,-0.367551586235552,-1.41271229648195,1.16211553104122,0.211021515083311,1.19356514077695,0.326113773473024,-0.838691112094451,-0.106514841736927,0.0473564252224479,0.135715748833983,-0.248643204721002,-0.0719252974934286,0.156897944836596,-0.350277300997617,-0.057853270732364,0.0572424625400457,0
-0.2934395304967512,0.04711051586602286,1.87662023109339,1.07400672948383,-1.79569160666413,4.18585087317395,1.09624452623523,-0.134298019171229,0.202193900478771,0.0308212733630146,-1.01189284197804,0.273560203855967,0.871411517204984,-0.0677787098914902,-0.216864944460068,-2.99654442064467,-1.90110433993344,1.73625060758707,1.54246650705116,1.43036067706005,-1.40170296873154,-0.201750301289006,-0.0670654170358252,0.0054122199002419,-0.0160135340944277,-0.605706330717414,0.152778010248522,0.0992471722248405,0.0088475894538983,0.004164011549324,0
-0.2934395304967512,-0.42769534416522753,-0.245036130686932,1.37250291304734,0.703264225877975,0.759896628125602,0.473671371227134,-1.14299068892662,0.907033409879898,-0.136120820944424,-0.570950764799631,-1.0940946152127,-0.114223830961725,-0.686051098663709,-0.629868208643082,-1.35098694801214,0.931964992734139,0.529613787954287,0.93734903687716,0.817220910910106,-0.482305410777981,-0.0787356309060754,-0.0017932636901619,0.001632721272866,-0.276152073081881,0.231889581231179,0.233290077932435,-0.366147268211488,0.0583782752203984,0.0622191809401865,0
-0.2934395304967512,-0.06217178303316533,-0.542039342419398,1.2975957587956,0.703146081044394,0.233542204008786,0.885108401888325,-0.835544024701369,0.97076698489092,-0.0111620273538544,-0.53405141653674,-1.35806713606501,-0.0066347142540386,-0.545146559568,-0.659411052344804,-1.34781313074207,0.692002439573387,0.479561192362294,0.927425241921366,0.297724927445648,-1.55242623474272,-0.185565188505506,0.0714164468245828,0.208713527499645,-0.222051742007465,-0.0836146391349475,-0.074385877675398,-0.504883675631769,0.154979529927526,0.17455078571615,0
-0.2934395304967512,-0.3367168317296961,-0.153849533002724,1.18473515102206,0.959629474872728,0.694452532108895,0.518982357662819,-1.08440502714206,1.04788842154065,-0.321175231712068,-0.327783355671437,-0.748449084185219,-0.203435869828872,-1.01646439620451,-1.19502292512575,-1.1625854766966,0.994185137162407,0.380695091025352,0.645148324607526,0.732886357548984,-0.431944555351188,-0.0500432279435745,-0.0437588818993132,0.0243577737057165,-0.303379699565859,0.241342060605402,0.188055569593688,-0.392854984462886,-0.112393399014389,-0.16815502542966,0
-0.05365751414797736,0.442874093915577,1.89899874692852,1.1895342070768,-2.64059898886686,3.95613872179002,1.83450857598907,0.0117745889529854,0.619855027126575,0.0011248570169536,-1.443164000632,0.356217668689618,0.880190494797839,-0.522810598892035,-0.797681823504865,-2.48681566137051,-1.58212025473507,1.63811710705921,1.55853317642682,1.21911867018843,-1.34386102554621,-0.180337035988755,-0.168456402922175,-0.474610179667629,0.0145914253042755,-0.08106603537471,0.238293961223622,0.0017206011512493,-0.0357352170126251,0.0016490353351338,0
